ticker,name,sector
9022.T,Central Japan Railway,Railway
9064.T,Yamato Holdings,Land transport
9147.T,Nippon Express Holdings,Land transport
9101.T,Nippon Yusen,Marine transport
9104.T,Mitsui O.S.K. Lines,Marine transport
9107.T,Kawasaki Kisen Kaisha,Marine transport
9201.T,Japan Airlines,Air transport
9202.T,ANA Holdings,Air transport
9501.T,Tokyo Electric Power,Electric power
9502.T,Chubu Electric Power,Electric power
9503.T,Kansai Electric Power,Electric power
9531.T,Tokyo Gas,Gas
9532.T,Osaka Gas,Gas
2413.T,M3,Services
2432.T,DeNA,Services
3659.T,Nexon,Services
4307.T,Nomura Research Institute,Services
4324.T,Dentsu Group,Services
4385.T,Mercari,Services
4661.T,Oriental Land,Services
4689.T,LY Corporation,Services
4704.T,Trend Micro,Services
4751.T,CyberAgent,Services
4755.T,Rakuten Group,Services
6098.T,Recruit Holdings,Services
6178.T,Japan Post Holdings,Services
7974.T,Nintendo,Services
9432.T,Nippon Telegraph and Telephone,Communications
9433.T,KDDI,Communications
9434.T,SoftBank,Communications
9735.T,Secom,Services
9766.T,Konami Group,Services
9843.T,Nitori Holdings,Retail
9983.T,Fast Retailing,Retail
9984.T,SoftBank Group,Communications
6963.T,Rohm,Electrical
7752.T,Ricoh,Electrical
4902.T,Konica Minolta,Precision
6146.T,Disco,Precision
7453.T,Ryohin Keikaku,Retail
7532.T,Pan Pacific International Holdings,Retail
7186.T,Yokohama Financial Group,Bank
8591.T,Orix,Other finance
8697.T,Japan Exchange Group,Other finance
3697.T,Shift,Services
6532.T,BayCurrent,Services
9602.T,Toho,Services
3861.T,Oji Holdings,Pulp and paper
2768.T,Sojitz,Trading
5631.T,Japan Steel Works,Machinery
6103.T,Okuma,Machinery
6113.T,Amada,Machinery
6273.T,SMC,Machinery
